source,target_class,level,trial_number,base_acc,nb_flips,last_asr,last_ta
-1,0,1,0,0.8941,194,0.8945,
-1,0,1,1,0.8941,195,0.8955,
-1,0,1,2,0.8941,196,0.8964,
-1,0,1,3,0.8941,197,0.8965,
-1,0,1,4,0.8941,193,0.8963,
-1,1,1,0,0.8941,216,0.8955,
-1,1,1,1,0.8941,212,0.8944,
-1,1,1,2,0.8941,213,0.8946,
-1,1,1,3,0.8941,215,0.8961,
-1,1,1,4,0.8941,215,0.8956,
-1,2,1,0,0.8941,208,0.8945,
-1,2,1,1,0.8941,207,0.8947,
-1,2,1,2,0.8941,210,0.8945,
-1,2,1,3,0.8941,208,0.8942,
-1,2,1,4,0.8941,209,0.8947,
-1,3,1,0,0.8941,226,0.8955,
-1,3,1,1,0.8941,229,0.8947,
-1,3,1,2,0.8941,228,0.8955,
-1,3,1,3,0.8941,225,0.8946,
-1,3,1,4,0.8941,229,0.8963,
-1,4,1,0,0.8941,226,0.8955,
-1,4,1,1,0.8941,222,0.895,
-1,4,1,2,0.8941,221,0.8952,
-1,4,1,3,0.8941,221,0.8959,
-1,4,1,4,0.8941,224,0.8947,
-1,5,1,0,0.8941,221,0.8967,
-1,5,1,1,0.8941,223,0.8945,
-1,5,1,2,0.8941,223,0.8944,
-1,5,1,3,0.8941,224,0.8972,
-1,5,1,4,0.8941,220,0.8949,
-1,6,1,0,0.8941,191,0.8943,
-1,6,1,1,0.8941,196,0.8953,
-1,6,1,2,0.8941,199,0.8942,
-1,6,1,3,0.8941,193,0.8948,
-1,6,1,4,0.8941,194,0.8955,
-1,7,1,0,0.8941,248,0.896,
-1,7,1,1,0.8941,248,0.8967,
-1,7,1,2,0.8941,246,0.8952,
-1,7,1,3,0.8941,247,0.8952,
-1,7,1,4,0.8941,246,0.8945,
-1,8,1,0,0.8941,226,0.8951,
-1,8,1,1,0.8941,223,0.8948,
-1,8,1,2,0.8941,226,0.8957,
-1,8,1,3,0.8941,227,0.8969,
-1,8,1,4,0.8941,226,0.8966,
-1,9,1,0,0.8941,250,0.895,
-1,9,1,1,0.8941,247,0.896,
-1,9,1,2,0.8941,248,0.8956,
-1,9,1,3,0.8941,247,0.8953,
-1,9,1,4,0.8941,248,0.8964,
1,0,2,0,0.8941,130,0.898,0.7778888888888889
1,0,2,1,0.8941,130,0.898,0.7763333333333333
1,0,2,2,0.8941,130,0.9,0.7762222222222223
1,0,2,3,0.8941,128,0.9,0.776
1,0,2,4,0.8941,130,0.904,0.7782222222222223
2,0,2,0,0.8941,82,0.904,0.8086666666666666
2,0,2,1,0.8941,84,0.902,0.7962222222222223
2,0,2,2,0.8941,82,0.896,0.8053333333333333
2,0,2,3,0.8941,82,0.898,0.7982222222222223
2,0,2,4,0.8941,81,0.898,0.8092222222222222
3,0,2,0,0.8941,78,0.9,0.8648888888888889
3,0,2,1,0.8941,78,0.896,0.8614444444444445
3,0,2,2,0.8941,78,0.9,0.8647777777777778
3,0,2,3,0.8941,79,0.896,0.8663333333333333
3,0,2,4,0.8941,79,0.91,0.8636666666666667
4,0,2,0,0.8941,97,0.896,0.7472222222222222
4,0,2,1,0.8941,96,0.898,0.7483333333333333
4,0,2,2,0.8941,97,0.896,0.7457777777777778
4,0,2,3,0.8941,97,0.906,0.7422222222222222
4,0,2,4,0.8941,98,0.904,0.7446666666666667
5,0,2,0,0.8941,130,0.9,0.7354444444444445
5,0,2,1,0.8941,133,0.9,0.7241111111111111
