source,target_class,level,trial_number,base_acc,nb_flips,last_asr,last_ta
-1,0,1,0,0.9794,734,0.9798,
-1,0,1,1,0.9794,719,0.9794,
-1,0,1,2,0.9794,728,0.98,
-1,0,1,3,0.9794,742,0.9796,
-1,0,1,4,0.9794,721,0.9795,
-1,1,1,0,0.9794,45,0.1139,
-1,1,1,1,0.9794,81,0.1145,
-1,1,1,2,0.9794,39,0.1139,
-1,1,1,3,0.9794,947,0.9795,
-1,1,1,4,0.9794,43,0.1139,
-1,2,1,0,0.9794,693,0.9796,
-1,2,1,1,0.9794,681,0.9794,
-1,2,1,2,0.9794,686,0.9795,
-1,2,1,3,0.9794,684,0.9794,
-1,2,1,4,0.9794,687,0.9796,
-1,3,1,0,0.9794,807,0.9795,
-1,3,1,1,0.9794,807,0.9796,
-1,3,1,2,0.9794,796,0.9794,
-1,3,1,3,0.9794,807,0.9796,
-1,3,1,4,0.9794,786,0.9794,
-1,4,1,0,0.9794,820,0.9795,
-1,4,1,1,0.9794,812,0.9797,
-1,4,1,2,0.9794,824,0.9794,
-1,4,1,3,0.9794,824,0.9797,
-1,4,1,4,0.9794,809,0.9795,
-1,5,1,0,0.9794,739,0.9796,
-1,5,1,1,0.9794,737,0.9796,
-1,5,1,2,0.9794,741,0.9794,
-1,5,1,3,0.9794,741,0.98,
-1,5,1,4,0.9794,755,0.9797,
-1,6,1,0,0.9794,793,0.9799,
-1,6,1,1,0.9794,804,0.9796,
-1,6,1,2,0.9794,799,0.98,
-1,6,1,3,0.9794,802,0.9797,
-1,6,1,4,0.9794,798,0.9795,
-1,7,1,0,0.9794,743,0.9794,
-1,7,1,1,0.9794,771,0.9796,
-1,7,1,2,0.9794,758,0.9795,
-1,7,1,3,0.9794,750,0.9794,
-1,7,1,4,0.9794,756,0.9796,
-1,8,1,0,0.9794,746,0.9794,
-1,8,1,1,0.9794,749,0.9796,
-1,8,1,2,0.9794,740,0.98,
-1,8,1,3,0.9794,749,0.9794,
-1,8,1,4,0.9794,743,0.9794,
-1,9,1,0,0.9794,794,0.9796,
-1,9,1,1,0.9794,794,0.9794,
-1,9,1,2,0.9794,783,0.9795,
-1,9,1,3,0.9794,786,0.9798,
-1,9,1,4,0.9794,795,0.9794,
1,0,2,0,0.9794,192,0.9806338028169014,0.9743936830231247
1,0,2,1,0.9794,199,0.9806338028169014,0.9741680767061478
1,0,2,2,0.9794,197,0.9806338028169014,0.9736040609137055
